surface,environment,service_name,branch,app_env,database_url_secret,migration_database_url_secret,runtime_cron_secret,github_cron_secret,session_scheduler_mode,migration_workflow,workflow_run_branch,current_status,notes
Render API,Production,dmg-api,main,production,Production:DATABASE_URL,Production:MIGRATION_DATABASE_URL,CRON_SECRET,Production:PRODUCTION_CRON_SECRET,enabled,.github/workflows/production-migrations.yml,main,active,Production maintenance is scheduled via GitHub Actions daily-maintenance workflow.
Render API,Staging,dmg-api-staging,main,staging,Staging:DATABASE_URL,Staging:MIGRATION_DATABASE_URL,not configured,Staging:STAGING_CRON_SECRET (optional),unset -> resolves to disabled,.github/workflows/staging-migrations.yml,main,active,STAGING_CRON_SECRET is currently unused because no staging maintenance workflow exists.
