Body,Post Code,Service Area Categorisation,Expenses Type,Date,Transaction Number,Department, Amount ,Supplier Name,Supplier Number
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,02/01/2026,CRED183767,Housing,£700.00,Caring for Communities and People,00252481
Tewkesbury Borough Council,23UG,Human resources,Computer  - Annual Renewals,02/01/2026,CRED183763,People and Culture,£735.00,ITS Software Systems Limited (Eploy),00255684
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,02/01/2026,CRED183765,One Legal,"£1,540.69",Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,02/01/2026,CRED183766,One Legal,£930.00,Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Car Parking,Agency  Contracted Services,05/01/2026,CRED183768,Finance,£572.00,Jade Security Services Limited,00255580
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,05/01/2026,CRED183772,Housing,"£1,651.17",OE-Management LTD,00257011
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,05/01/2026,CRED183773,Housing,"£1,804.81",OE-Management LTD,00257011
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,05/01/2026,CRED183774,Housing,£589.32,OE-Management LTD,00257011
Tewkesbury Borough Council,23UG,Environmental Health,Agency Staff,05/01/2026,CRED183771,Environmental Health,£875.00,Osborne Richardson,00161554
Tewkesbury Borough Council,23UG,Revenues & Benefits,Printing,06/01/2026,CRED183777,Revenues and Benefits Team,"£2,912.44",PSL Print Management Ltd,00256304
Tewkesbury Borough Council,23UG,Development Control,Printing,06/01/2026,CRED183778,Director: Growth,"£1,442.61",PSL Print Management Ltd,00256304
Tewkesbury Borough Council,23UG,Digital Transformation Team,Broadband,06/01/2026,CRED183776,"IT, Digital and Cyber",£806.37,Vodafone Limited,00251906
Tewkesbury Borough Council,23UG,Development Control,Agency  Contracted Services,07/01/2026,CRED183788,Director: Growth,"£3,500.00",Calm Engineering,00256664
Tewkesbury Borough Council,23UG,Earmarked Reserve - Plan Obs Comm Sums,Payments Made,07/01/2026,CRED183783,Community and Economic Development,"£1,498.70",Global Radio Services Limited,00214168
Tewkesbury Borough Council,23UG,Crime & Disorder Act Expenditure,`Payts To Other Local Auths,07/01/2026,CRED183787,Environmental Health,"£1,561.00",Gloucestershire County Council,00000204
Tewkesbury Borough Council,23UG,Bulky Waste Service,Recycling activity (non ubico),07/01/2026,CRED183790,Waste and Recycling,"£5,023.00",Orchard Recycling Service Ltd,00255781
Tewkesbury Borough Council,23UG,"Vaughan Pak, Tipton",Programmed Maintenance,07/01/2026,CRED183796,Asset Management,£576.00,Payters Facilities Management Limited,00256418
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183799,Finance,"£8,919.68",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183800,Finance,"£5,389.44",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183801,Finance,"£6,594.32",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183802,Finance,"£14,560.00",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183803,Finance,£997.92,Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183804,Finance,"£135,980.32",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183805,Finance,"£5,142.63",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183805,Finance,"£5,142.63",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183806,Finance,"£3,858.51",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183806,Finance,£512.42,Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183807,Finance,"£7,426.72",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183808,Finance,"£3,973.88",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183809,Finance,"£97,894.17",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Capital Expenditure Holding Account,Capital  Grants,08/01/2026,CRED183797,Environmental Health,"£17,255.00",Opus Construction,00256166
Tewkesbury Borough Council,23UG,Development Control,Agency Staff,08/01/2026,CRED183798,Director: Growth,"£3,651.50",Sarto Thomas Limited,00255925
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,09/01/2026,CRED183829,Housing,£819.33,Bridge House Bed & Breakfast,00252767
Tewkesbury Borough Council,23UG,Car Parking,Agency  Contracted Services,09/01/2026,CRED183815,Asset Management,£637.53,Chipside Limited,00253425
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,09/01/2026,CRED183837,Housing,£672.00,Connolly & Callaghan Ltd,00253484
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,09/01/2026,CRED183838,Housing,£507.50,Connolly & Callaghan Ltd,00253484
Tewkesbury Borough Council,23UG,Retained Assets,Electricity,09/01/2026,CRED183817,Asset Management,"£1,948.49",Redacted Personal Information,00226460
Tewkesbury Borough Council,23UG,Development Control,Agency  Contracted Services,09/01/2026,CRED183822,Director: Growth,"£1,547.00",G2V Recruitment Group Ltd,00253471
Tewkesbury Borough Council,23UG,Cemetery Bishops Cleeve,Agency  Contracted Services,09/01/2026,CRED183844,Asset Management,£737.44,Gardiners,00252700
Tewkesbury Borough Council,23UG,Car Parking,Rents Easements And Wayleaves,09/01/2026,CRED183851,Asset Management,"£14,375.00",Hartnell Taylor Cook LLP,00252558
Tewkesbury Borough Council,23UG,Earmarked Reserves,Payments Made,09/01/2026,CRED183813,Director: Growth,£848.58,Hays,00254370
Tewkesbury Borough Council,23UG,Earmarked Reserve - Plan Obs Comm Sums,Payments Made,09/01/2026,CRED183852,Community and Economic Development,£660.00,Hucclecote Parish Council,00250342
Tewkesbury Borough Council,23UG,Car Parking,Agency  Contracted Services,09/01/2026,CRED183846,Finance,£704.00,Jade Security Services Limited,00255580
Tewkesbury Borough Council,23UG,Revenues & Benefits,Agency Staff,09/01/2026,CRED183841,Revenues and Benefits Team,£813.96,Morgan Hunt UK Limited,00252917
Tewkesbury Borough Council,23UG,Earmarked Reserves,Payments Made,09/01/2026,CRED183842,Revenues and Benefits Team,"£1,522.50",Morgan Hunt UK Limited,00252917
Tewkesbury Borough Council,23UG,Retained Assets,Agency  Contracted Services,09/01/2026,CRED183823,Asset Management,£620.00,O Brien & Price Cheltenham Ltd,00256363
Tewkesbury Borough Council,23UG,Environmental Health,Agency Staff,09/01/2026,CRED183848,Environmental Health,£875.00,Osborne Richardson,00161554
Tewkesbury Borough Council,23UG,Environmental Health,Agency Staff,09/01/2026,CRED183849,Environmental Health,"£1,450.00",Osborne Richardson,00161554
Tewkesbury Borough Council,23UG,Earmarked Reserves,Payments Made,09/01/2026,CRED183840,Planning Policy,"£1,795.50",Park Avenue Recruitment Ltd,00253201
Tewkesbury Borough Council,23UG,Environmental Health,Computer  - Annual Renewals,09/01/2026,CRED183847,Environmental Health,"£3,836.00",RH Environmental Ltd,00222532
Tewkesbury Borough Council,23UG,Central Establishment,Printer Rental,09/01/2026,CRED183814,"IT, Digital and Cyber",£903.40,Ricoh UK Ltd,00175223
Tewkesbury Borough Council,23UG,Central Establishment,Printer Usage,09/01/2026,CRED183814,"IT, Digital and Cyber","£2,842.43",Ricoh UK Ltd,00175223
Tewkesbury Borough Council,23UG,Domestic Abuse,Agency  Contracted Services,09/01/2026,CRED183818,Housing,£954.00,Safe Partnership Ltd,00253157
Tewkesbury Borough Council,23UG,Earmarked Reserves,Payments Made,09/01/2026,CRED183836,Asset Management,"£58,231.69",Snape Contracting Services Ltd,00251779
Tewkesbury Borough Council,23UG,UK Shared Prosperity Fund,Agency  Contracted Services,09/01/2026,CRED183845,Community and Economic Development,"£2,133.00",The Growth Company,00256916
Tewkesbury Borough Council,23UG,Recycling Collection Service,Ubico MRF Transfer Station,09/01/2026,CRED183834,Waste and Recycling,"£9,207.51",Ubico Limited,00250926
Tewkesbury Borough Council,23UG,CIL Management,Agency Staff,09/01/2026,CRED183820,Community Infrastructure Levy,"£1,681.50",Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,09/01/2026,CRED183830,One Legal,"£1,151.63",Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,09/01/2026,CRED183831,One Legal,£854.00,Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,09/01/2026,CRED183832,One Legal,£720.00,Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Earmarked Reserves,Payments Made,09/01/2026,CRED183819,Asset Management,£585.00,Wenlock Systems LTD,00257057
Tewkesbury Borough Council,23UG,Homelessness Prevention,Agency  Contracted Services,12/01/2026,CRED183863,Housing,£933.29,Bromford Housing,00255953
Tewkesbury Borough Council,23UG,Earmarked Reserve - Plan Obs Comm Sums,Payments Made,12/01/2026,CRED183854,Community and Economic Development,"£1,197.00",Business Sorted Ltd t/a Website Sorted,00257089
Tewkesbury Borough Council,23UG,Joint Core Strategy,Agency Staff,12/01/2026,CRED183858,Director: Growth,£741.58,Carrington West Limited,00252528
Tewkesbury Borough Council,23UG,Recycling Collection Service,MRF Gate Fee,12/01/2026,CRED183857,Waste and Recycling,"£69,183.75",Casepak,00255735
Tewkesbury Borough Council,23UG,Retained Assets,Agency  Contracted Services,12/01/2026,CRED183879,Asset Management,"£6,555.00",Charlton Abbotts Landscaping Ltd,00256743
Tewkesbury Borough Council,23UG,Short Term Lease Liability - IFRS 16,Payments Made,12/01/2026,CRED183861,Asset Management,"£2,208.75",Co-wheels Car Club Community Interest Company,00256880
Tewkesbury Borough Council,23UG,Chief Executive Unit,Agency Staff,12/01/2026,CRED183878,Finance,£777.20,First Choice Recruitment Services,00022376
Tewkesbury Borough Council,23UG,Digital Transformation Team,Broadband,12/01/2026,CRED183870,"IT, Digital and Cyber",£898.31,Gamma Telecom Limited,00253357
Tewkesbury Borough Council,23UG,Joint Core Strategy,Subscriptions,12/01/2026,CRED183866,Director: Growth,"£14,500.00",GoVocal formerly CitizenLab,00256683
Tewkesbury Borough Council,23UG,Joint Core Strategy,Subscriptions,12/01/2026,CRED183867,Director: Growth,"£9,917.00",GoVocal formerly CitizenLab,00256683
Tewkesbury Borough Council,23UG,Legal Services,Disbursements,12/01/2026,CRED183859,One Legal,"£1,575.00",Redacted Personal Information,00256831
Tewkesbury Borough Council,23UG,Retained Assets,Programmed Maintenance,12/01/2026,CRED183869,Asset Management,"£1,100.00",MATT HALE TREE SURGERY Ltd,00253352
Tewkesbury Borough Council,23UG,Retained Assets,Programmed Maintenance,12/01/2026,CRED183875,Asset Management,£750.00,MATT HALE TREE SURGERY Ltd,00253352
Tewkesbury Borough Council,23UG,Joint Core Strategy,Agency  Contracted Services,12/01/2026,CRED183877,Director: Growth,"£4,000.00",Mott MadDonald Ltd,00257082
Tewkesbury Borough Council,23UG,Recycling Collection Service,Ubico MRF Transfer Station,12/01/2026,CRED183871,Waste and Recycling,"£5,471.45",Printwaste Recycling,00207434
Tewkesbury Borough Council,23UG,Recycling Collection Service,Ubico MRF Transfer Station,12/01/2026,CRED183872,Waste and Recycling,£668.75,Printwaste Recycling,00207434
Tewkesbury Borough Council,23UG,Car Parking,Agency  Contracted Services,12/01/2026,CRED183862,Asset Management,£664.91,RingGo Ltd,00252766
Tewkesbury Borough Council,23UG,Electoral Registration,Postages,12/01/2026,CRED183860,Democratic and Electoral Service,"£3,210.47",Royal Mail Group Ltd,00001779
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,12/01/2026,CRED183864,One Legal,"£2,275.00",Venn Group Ltd,00224828
Tewkesbury Borough Council,23UG,CIL Management,Agency Staff,12/01/2026,CRED183876,Community Infrastructure Levy,"£1,776.50",Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Environmental Health,Training  Development,13/01/2026,CRED182573,Finance,"£2,294.00",CATG Limited,00256988
Tewkesbury Borough Council,23UG,Environmental Health,Training  Development,13/01/2026,CRED181314,Finance,"£1,295.00",CSPT Limited,00256828
Tewkesbury Borough Council,23UG,Environmental Health,Training  Development,13/01/2026,CRED181389,Finance,"£1,295.00",CSPT Limited,00256828
Tewkesbury Borough Council,23UG,Capital Expenditure Holding Account,Capital  Grants,13/01/2026,CRED183894,Environmental Health,"£2,148.00",The Surveying Practice Limited,00251817
Tewkesbury Borough Council,23UG,The Chase Investment Property,Electricity,13/01/2026,CRED183886,Asset Management,"£2,378.02",West Mercia Energy,00226473
Tewkesbury Borough Council,23UG,Retained Assets,Agency  Contracted Services,14/01/2026,CRED183898,Asset Management,"£6,555.00",Charlton Abbotts Landscaping Ltd,00256743
Tewkesbury Borough Council,23UG,Earmarked Reserve - Plan Obs Comm Sums,Payments Made,14/01/2026,CRED183901,Community and Economic Development,"£79,977.55",Chosen Hill School,00257090
Tewkesbury Borough Council,23UG,Public Offices,Programmed Maintenance,14/01/2026,CRED183899,Asset Management,"£1,098.50",GSM Ltd,00256352
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,14/01/2026,CRED183917,One Legal,"£1,323.00",Redacted Personal Information,00255529
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,14/01/2026,CRED183918,One Legal,"£1,806.00",Redacted Personal Information,00255529
Tewkesbury Borough Council,23UG,Household Support Grant,Grants,14/01/2026,CRED183920,Community and Economic Development,"£7,000.00",North Cotswold Foodbank,00256334
Tewkesbury Borough Council,23UG,Legal Services,Disbursements,14/01/2026,CRED183919,One Legal,£705.00,Prestige Network Ltd,00256015
Tewkesbury Borough Council,23UG,Capital Expenditure Holding Account,Capital  Grants,14/01/2026,CRED183921,Environmental Health,"£14,320.00",Prospect Builders Ltd,00256959
Tewkesbury Borough Council,23UG,Homelessness Prevention,Agency  Contracted Services,14/01/2026,CRED183908,Housing,£741.17,Sovereign Housing,00253185
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,14/01/2026,CRED183912,One Legal,"£1,992.00",Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,14/01/2026,CRED183913,One Legal,£917.00,Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,14/01/2026,CRED183914,One Legal,"£1,755.00",Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,14/01/2026,CRED183915,One Legal,"£1,632.00",Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Development Control,Agency Staff,15/01/2026,CRED183928,Director: Growth,"£4,917.25",Capita Property & Infrastructure Ltd,00256194
Tewkesbury Borough Council,23UG,Development Control,Agency Staff,15/01/2026,CRED183929,Director: Growth,"£4,589.06",Capita Property & Infrastructure Ltd,00256194
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,15/01/2026,CRED183935,Housing,£672.00,Connolly & Callaghan Ltd,00253484
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,15/01/2026,CRED183936,Housing,£507.50,Connolly & Callaghan Ltd,00253484
Tewkesbury Borough Council,23UG,Development Control,Agency  Contracted Services,15/01/2026,CRED183939,Director: Growth,"£1,071.00",G2V Recruitment Group Ltd,00253471
Tewkesbury Borough Council,23UG,Joint Core Strategy,Subscriptions,15/01/2026,CRED183931,"IT, Digital and Cyber","£14,500.00",GoVocal formerly CitizenLab,00256683
Tewkesbury Borough Council,23UG,Joint Core Strategy,Subscriptions,15/01/2026,CRED183932,"IT, Digital and Cyber","£9,917.00",GoVocal formerly CitizenLab,00256683
Tewkesbury Borough Council,23UG,Earmarked Reserves,Payments Made,15/01/2026,CRED183926,Director: Growth,"£1,414.29",Hays,00254370
Tewkesbury Borough Council,23UG,Earmarked Reserves,Payments Made,15/01/2026,CRED183940,Revenues and Benefits Team,"£1,285.20",Morgan Hunt UK Limited,00252917
Tewkesbury Borough Council,23UG,Earmarked Reserves,Payments Made,15/01/2026,CRED183941,Revenues and Benefits Team,"£1,073.00",Morgan Hunt UK Limited,00252917
Tewkesbury Borough Council,23UG,Earmarked Reserves,Payments Made,15/01/2026,CRED183938,Planning Policy,"£2,650.50",Park Avenue Recruitment Ltd,00253201
Tewkesbury Borough Council,23UG,Development Control,Agency Staff,15/01/2026,CRED183925,Director: Growth,"£1,909.90",Sarto Thomas Limited,00255925
